"행정구역별","품목별","항목","단위","2013 년",
"전  국","연(납)광 및 아연광(채굴 및 정광)","완제품 연말재고액[백만원]","백만원","...",
"전  국","비금속광물 광업;연료용 제외","사업체수[개]","개","370",
"전  국","비금속광물 광업;연료용 제외","생산액[백만원]","백만원","2399564",
"전  국","비금속광물 광업;연료용 제외","출하금액[백만원]","백만원","2400429",
"전  국","비금속광물 광업;연료용 제외","완제품 연말재고액[백만원]","백만원","69007",
"전  국","석회쇄석(채굴)","사업체수[개]","개","52",
"전  국","석회쇄석(채굴)","생산액[백만원]","백만원","475872",
"전  국","석회쇄석(채굴)","출하금액[백만원]","백만원","476038",
"전  국","석회쇄석(채굴)","완제품 연말재고액[백만원]","백만원","9764",
"전  국","고령토(채굴)","사업체수[개]","개","2",
"전  국","고령토(채굴)","생산액[백만원]","백만원","...",
"전  국","고령토(채굴)","출하금액[백만원]","백만원","...",
"전  국","고령토(채굴)","완제품 연말재고액[백만원]","백만원","...",
"전  국","기타 점토(채굴)","사업체수[개]","개","2",
"전  국","기타 점토(채굴)","생산액[백만원]","백만원","...",
"전  국","기타 점토(채굴)","출하금액[백만원]","백만원","...",
"전  국","기타 점토(채굴)","완제품 연말재고액[백만원]","백만원","...",
"전  국","화강암 원석(파쇄되지 않은 것)","사업체수[개]","개","27",
"전  국","화강암 원석(파쇄되지 않은 것)","생산액[백만원]","백만원","94001",
"전  국","화강암 원석(파쇄되지 않은 것)","출하금액[백만원]","백만원","92929",
"전  국","화강암 원석(파쇄되지 않은 것)","완제품 연말재고액[백만원]","백만원","4249",
"전  국","석회석 원석(파쇄되지 않은 것)","사업체수[개]","개","4",
"전  국","석회석 원석(파쇄되지 않은 것)","생산액[백만원]","백만원","23276",
"전  국","석회석 원석(파쇄되지 않은 것)","출하금액[백만원]","백만원","22864",
"전  국","석회석 원석(파쇄되지 않은 것)","완제품 연말재고액[백만원]","백만원","1643",
"전  국","건설용 쇄석(석회쇄석 제외)","사업체수[개]","개","191",
"전  국","건설용 쇄석(석회쇄석 제외)","생산액[백만원]","백만원","1175186",
"전  국","건설용 쇄석(석회쇄석 제외)","출하금액[백만원]","백만원","1178214",
"전  국","건설용 쇄석(석회쇄석 제외)","완제품 연말재고액[백만원]","백만원","30097",
"전  국","건설용 천연모래","사업체수[개]","개","49",
"전  국","건설용 천연모래","생산액[백만원]","백만원","336680",
"전  국","건설용 천연모래","출하금액[백만원]","백만원","337030",
"전  국","건설용 천연모래","완제품 연말재고액[백만원]","백만원","4565",
"전  국","천연 자갈","사업체수[개]","개","13",
"전  국","천연 자갈","생산액[백만원]","백만원","74130",
"전  국","천연 자갈","출하금액[백만원]","백만원","73901",
"전  국","천연 자갈","완제품 연말재고액[백만원]","백만원","1782",
"전  국","공업용 천연모래","사업체수[개]","개","8",
"전  국","공업용 천연모래","생산액[백만원]","백만원","111803",
"전  국","공업용 천연모래","출하금액[백만원]","백만원","110996",
"전  국","공업용 천연모래","완제품 연말재고액[백만원]","백만원","5979",
"전  국","납석(채굴)","사업체수[개]","개","5",
"전  국","납석(채굴)","생산액[백만원]","백만원","22359",
"전  국","납석(채굴)","출하금액[백만원]","백만원","22046",
"전  국","납석(채굴)","완제품 연말재고액[백만원]","백만원","6911",
"전  국","기타 화학 및 비료 원료용 광물(채굴)","사업체수[개]","개","2",
"전  국","기타 화학 및 비료 원료용 광물(채굴)","생산액[백만원]","백만원","...",
"전  국","기타 화학 및 비료 원료용 광물(채굴)","출하금액[백만원]","백만원","...",
"전  국","기타 화학 및 비료 원료용 광물(채굴)","완제품 연말재고액[백만원]","백만원","...",
"전  국","소금(채취한 것)","사업체수[개]","개","6",
"전  국","소금(채취한 것)","생산액[백만원]","백만원","16455",
"전  국","소금(채취한 것)","출하금액[백만원]","백만원","16550",
"전  국","소금(채취한 것)","완제품 연말재고액[백만원]","백만원","1718",
"전  국","규석(채굴)","사업체수[개]","개","5",
"전  국","규석(채굴)","생산액[백만원]","백만원","16419",
"전  국","규석(채굴)","출하금액[백만원]","백만원","16094",
"전  국","규석(채굴)","완제품 연말재고액[백만원]","백만원","578",
"전  국","장석(채굴)","사업체수[개]","개","1",
"전  국","장석(채굴)","생산액[백만원]","백만원","...",
"전  국","장석(채굴)","출하금액[백만원]","백만원","...",
"전  국","장석(채굴)","완제품 연말재고액[백만원]","백만원","...",
"전  국","기타 비금속광물","사업체수[개]","개","3",
"전  국","기타 비금속광물","생산액[백만원]","백만원","15821",
"전  국","기타 비금속광물","출하금액[백만원]","백만원","16098",
"전  국","기타 비금속광물","완제품 연말재고액[백만원]","백만원","1056",
"전  국","광업 지원 서비스업","사업체수[개]","개","1",
"전  국","광업 지원 서비스업","생산액[백만원]","백만원","...",
"전  국","광업 지원 서비스업","출하금액[백만원]","백만원","...",
"전  국","광업 지원 서비스업","완제품 연말재고액[백만원]","백만원","...",
"전  국","기타 광업 지원 서비스","사업체수[개]","개","1",
"전  국","기타 광업 지원 서비스","생산액[백만원]","백만원","...",
"전  국","기타 광업 지원 서비스","출하금액[백만원]","백만원","...",
"전  국","기타 광업 지원 서비스","완제품 연말재고액[백만원]","백만원","...",
"전  국","제조업","사업체수[개]","개","65190",
"전  국","제조업","생산액[백만원]","백만원","1451312275",
"전  국","제조업","출하금액[백만원]","백만원","1448937062",
"전  국","제조업","완제품 연말재고액[백만원]","백만원","49353083",
"전  국","식료품 제조업","사업체수[개]","개","6297",
"전  국","식료품 제조업","생산액[백만원]","백만원","65892810",
"전  국","식료품 제조업","출하금액[백만원]","백만원","65802784",
"전  국","식료품 제조업","완제품 연말재고액[백만원]","백만원","2037246",
"전  국","쇠고기(도축)","사업체수[개]","개","26",
"전  국","쇠고기(도축)","생산액[백만원]","백만원","269905",
"전  국","쇠고기(도축)","출하금액[백만원]","백만원","268975",
"전  국","쇠고기(도축)","완제품 연말재고액[백만원]","백만원","13010",
"전  국","돼지고기(도축)","사업체수[개]","개","54",
"전  국","돼지고기(도축)","생산액[백만원]","백만원","1207136",
"전  국","돼지고기(도축)","출하금액[백만원]","백만원","1201911",
"전  국","돼지고기(도축)","완제품 연말재고액[백만원]","백만원","28214",
"전  국","닭고기","사업체수[개]","개","46",
"전  국","닭고기","생산액[백만원]","백만원","2262010",
"전  국","닭고기","출하금액[백만원]","백만원","2282184",
"전  국","닭고기","완제품 연말재고액[백만원]","백만원","42212",
"전  국","오리고기","사업체수[개]","개","14",
"전  국","오리고기","생산액[백만원]","백만원","254558",
"전  국","오리고기","출하금액[백만원]","백만원","252486",
"전  국","오리고기","완제품 연말재고액[백만원]","백만원","23095",
"전  국","원피","사업체수[개]","개","2",
"전  국","원피","생산액[백만원]","백만원","...",
"전  국","원피","출하금액[백만원]","백만원","...",
"전  국","원피","완제품 연말재고액[백만원]","백만원","...",
"전  국","도축고기 부산물","사업체수[개]","개","26",
"전  국","도축고기 부산물","생산액[백만원]","백만원","126707",
"전  국","도축고기 부산물","출하금액[백만원]","백만원","126306",
"전  국","도축고기 부산물","완제품 연말재고액[백만원]","백만원","2130",
"전  국","가금고기(소동물포함) 부산물","사업체수[개]","개","16",
"전  국","가금고기(소동물포함) 부산물","생산액[백만원]","백만원","92706",
"전  국","가금고기(소동물포함) 부산물","출하금액[백만원]","백만원","93267",
"전  국","가금고기(소동물포함) 부산물","완제품 연말재고액[백만원]","백만원","952",
"전  국","가금류 소지시, 통조림 및 병조림","사업체수[개]","개","2",
"전  국","가금류 소지시, 통조림 및 병조림","생산액[백만원]","백만원","...",
"전  국","가금류 소지시, 통조림 및 병조림","출하금액[백만원]","백만원","...",
"전  국","가금류 소지시, 통조림 및 병조림","완제품 연말재고액[백만원]","백만원","...",
"전  국","가금류 포장육","사업체수[개]","개","126",
"전  국","가금류 포장육","생산액[백만원]","백만원","854157",
"전  국","가금류 포장육","출하금액[백만원]","백만원","845408",
"전  국","가금류 포장육","완제품 연말재고액[백만원]","백만원","38449",
"전  국","기타 가금류 가공품","사업체수[개]","개","89",
"전  국","기타 가금류 가공품","생산액[백만원]","백만원","602366",
"전  국","기타 가금류 가공품","출하금액[백만원]","백만원","600094",
"전  국","기타 가금류 가공품","완제품 연말재고액[백만원]","백만원","12229",
"전  국","베이컨","사업체수[개]","개","10",
"전  국","베이컨","생산액[백만원]","백만원","110339",
"전  국","베이컨","출하금액[백만원]","백만원","108899",
"전  국","베이컨","완제품 연말재고액[백만원]","백만원","4872",
"전  국","햄(가축)","사업체수[개]","개","34",
"전  국","햄(가축)","생산액[백만원]","백만원","547626",
"전  국","햄(가축)","출하금액[백만원]","백만원","547574",
"전  국","햄(가축)","완제품 연말재고액[백만원]","백만원","37482",
"전  국","소시지(축육)","사업체수[개]","개","40",
"전  국","소시지(축육)","생산액[백만원]","백만원","436675",
"전  국","소시지(축육)","출하금액[백만원]","백만원","436440",
"전  국","소시지(축육)","완제품 연말재고액[백만원]","백만원","11091",
"전  국","기타 육지동물 소시지 유사제품","사업체수[개]","개","47",
"전  국","기타 육지동물 소시지 유사제품","생산액[백만원]","백만원","156796",
"전  국","기타 육지동물 소시지 유사제품","출하금액[백만원]","백만원","156321",
"전  국","기타 육지동물 소시지 유사제품","완제품 연말재고액[백만원]","백만원","2991",
"전  국","육지동물 통조림 및 병조림","사업체수[개]","개","5",
"전  국","육지동물 통조림 및 병조림","생산액[백만원]","백만원","15350",
"전  국","육지동물 통조림 및 병조림","출하금액[백만원]","백만원","14907",
"전  국","육지동물 통조림 및 병조림","완제품 연말재고액[백만원]","백만원","1041",
"전  국","육지동물 포장육","사업체수[개]","개","181",
"전  국","육지동물 포장육","생산액[백만원]","백만원","2737162",
"전  국","육지동물 포장육","출하금액[백만원]","백만원","2712592",
"전  국","육지동물 포장육","완제품 연말재고액[백만원]","백만원","79877",
"전  국","기타 고기가공품","사업체수[개]","개","118",
"전  국","기타 고기가공품","생산액[백만원]","백만원","502348",
"전  국","기타 고기가공품","출하금액[백만원]","백만원","498907",
"전  국","기타 고기가공품","완제품 연말재고액[백만원]","백만원","14945",
"전  국","어묵 및 유사가공품","사업체수[개]","개","67",
"전  국","어묵 및 유사가공품","생산액[백만원]","백만원","465577",
"전  국","어묵 및 유사가공품","출하금액[백만원]","백만원","464194",
"전  국","어묵 및 유사가공품","완제품 연말재고액[백만원]","백만원","10053",
"전  국","어육 소시지 및 어묵햄","사업체수[개]","개","16",
"전  국","어육 소시지 및 어묵햄","생산액[백만원]","백만원","220057",
"전  국","어육 소시지 및 어묵햄","출하금액[백만원]","백만원","222109",
"전  국","어육 소시지 및 어묵햄","완제품 연말재고액[백만원]","백만원","15713",
"전  국","조미오징어","사업체수[개]","개","37",
"전  국","조미오징어","생산액[백만원]","백만원","192078",
"전  국","조미오징어","출하금액[백만원]","백만원","195446",
"전  국","조미오징어","완제품 연말재고액[백만원]","백만원","13519",
"전  국","조미쥐치포","사업체수[개]","개","17",
"전  국","조미쥐치포","생산액[백만원]","백만원","31111",
"전  국","조미쥐치포","출하금액[백만원]","백만원","30944",
"전  국","조미쥐치포","완제품 연말재고액[백만원]","백만원","2898",
"전  국","기타 조미조제식품 및 어류훈제품","사업체수[개]","개","24",
"전  국","기타 조미조제식품 및 어류훈제품","생산액[백만원]","백만원","81118",
"전  국","기타 조미조제식품 및 어류훈제품","출하금액[백만원]","백만원","81109",
"전  국","기타 조미조제식품 및 어류훈제품","완제품 연말재고액[백만원]","백만원","2967",
"전  국","기타 수산동물 조리가공품","사업체수[개]","개","25",
"전  국","기타 수산동물 조리가공품","생산액[백만원]","백만원","84407",
"전  국","기타 수산동물 조리가공품","출하금액[백만원]","백만원","84254",
"전  국","기타 수산동물 조리가공품","완제품 연말재고액[백만원]","백만원","5381",
"전  국","참치통조림","사업체수[개]","개","8",
"전  국","참치통조림","생산액[백만원]","백만원","492834",
"전  국","참치통조림","출하금액[백만원]","백만원","490464",
"전  국","참치통조림","완제품 연말재고액[백만원]","백만원","26431",
"전  국","골뱅이통조림","사업체수[개]","개","6",
"전  국","골뱅이통조림","생산액[백만원]","백만원","53864",
"전  국","골뱅이통조림","출하금액[백만원]","백만원","55710",
"전  국","골뱅이통조림","완제품 연말재고액[백만원]","백만원","1179",
"전  국","굴 통조림","사업체수[개]","개","5",
"전  국","굴 통조림","생산액[백만원]","백만원","8981",
"전  국","굴 통조림","출하금액[백만원]","백만원","12641",
"전  국","굴 통조림","완제품 연말재고액[백만원]","백만원","4736",
"전  국","꽁치통조림","사업체수[개]","개","6",
"전  국","꽁치통조림","생산액[백만원]","백만원","14388",
"전  국","꽁치통조림","출하금액[백만원]","백만원","14247",
"전  국","꽁치통조림","완제품 연말재고액[백만원]","백만원","2697",
"전  국","기타 수산동물 통조림","사업체수[개]","개","14",
"전  국","기타 수산동물 통조림","생산액[백만원]","백만원","15929",
"전  국","기타 수산동물 통조림","출하금액[백만원]","백만원","14285",
"전  국","기타 수산동물 통조림","완제품 연말재고액[백만원]","백만원","3497",
"전  국","명태 건제품","사업체수[개]","개","54",
"전  국","명태 건제품","생산액[백만원]","백만원","110842",
"전  국","명태 건제품","출하금액[백만원]","백만원","109474",
"전  국","명태 건제품","완제품 연말재고액[백만원]","백만원","10176",
"전  국","멸치 건제품","사업체수[개]","개","48",
"전  국","멸치 건제품","생산액[백만원]","백만원","122706",
"전  국","멸치 건제품","출하금액[백만원]","백만원","122679",
"전  국","멸치 건제품","완제품 연말재고액[백만원]","백만원","1079",
"전  국","오징어류 건제품","사업체수[개]","개","26",
"전  국","오징어류 건제품","생산액[백만원]","백만원","25759",
"전  국","오징어류 건제품","출하금액[백만원]","백만원","24412",
"전  국","오징어류 건제품","완제품 연말재고액[백만원]","백만원","4692",
"전  국","어류의 채(건조한 것)","사업체수[개]","개","24",
"전  국","어류의 채(건조한 것)","생산액[백만원]","백만원","42343",
"전  국","어류의 채(건조한 것)","출하금액[백만원]","백만원","42348",
"전  국","어류의 채(건조한 것)","완제품 연말재고액[백만원]","백만원","3190",
"전  국","기타 소건품","사업체수[개]","개","11",
"전  국","기타 소건품","생산액[백만원]","백만원","10752",
"전  국","기타 소건품","출하금액[백만원]","백만원","10857",
"전  국","기타 소건품","완제품 연말재고액[백만원]","백만원","369",
"전  국","기타 자건품","사업체수[개]","개","10",
"전  국","기타 자건품","생산액[백만원]","백만원","25443",
"전  국","기타 자건품","출하금액[백만원]","백만원","25490",
"전  국","기타 자건품","완제품 연말재고액[백만원]","백만원","2092",
"전  국","기타 수산동물 및 부산물 건제품","사업체수[개]","개","6",
"전  국","기타 수산동물 및 부산물 건제품","생산액[백만원]","백만원","5874",
"전  국","기타 수산동물 및 부산물 건제품","출하금액[백만원]","백만원","5727",
"전  국","기타 수산동물 및 부산물 건제품","완제품 연말재고액[백만원]","백만원","1021",
"전  국","멸치젓류","사업체수[개]","개","10",
"전  국","멸치젓류","생산액[백만원]","백만원","8131",
"전  국","멸치젓류","출하금액[백만원]","백만원","8068",
"전  국","멸치젓류","완제품 연말재고액[백만원]","백만원","238",
"전  국","명란젓 및 창란젓","사업체수[개]","개","26",
"전  국","명란젓 및 창란젓","생산액[백만원]","백만원","76580",
"전  국","명란젓 및 창란젓","출하금액[백만원]","백만원","76234",
"전  국","명란젓 및 창란젓","완제품 연말재고액[백만원]","백만원","4402",
"전  국","기타 젓갈류","사업체수[개]","개","38",
"전  국","기타 젓갈류","생산액[백만원]","백만원","86130",
"전  국","기타 젓갈류","출하금액[백만원]","백만원","85806",
"전  국","기타 젓갈류","완제품 연말재고액[백만원]","백만원","2313",
"전  국","어류 염장품","사업체수[개]","개","45",
"전  국","어류 염장품","생산액[백만원]","백만원","142343",
"전  국","어류 염장품","출하금액[백만원]","백만원","145575",
"전  국","어류 염장품","완제품 연말재고액[백만원]","백만원","11070",
"전  국","냉동 참치","사업체수[개]","개","9",
"전  국","냉동 참치","생산액[백만원]","백만원","300647",
"전  국","냉동 참치","출하금액[백만원]","백만원","299462",
"전  국","냉동 참치","완제품 연말재고액[백만원]","백만원","17773",
"전  국","냉동 고등어","사업체수[개]","개","26",
"전  국","냉동 고등어","생산액[백만원]","백만원","74958",
"전  국","냉동 고등어","출하금액[백만원]","백만원","75454",
"전  국","냉동 고등어","완제품 연말재고액[백만원]","백만원","2300",
"전  국","동태","사업체수[개]","개","6",
"전  국","동태","생산액[백만원]","백만원","17200",
"전  국","동태","출하금액[백만원]","백만원","17309",
"전  국","동태","완제품 연말재고액[백만원]","백만원","93",
"전  국","기타 어류 및 부산물의 냉동품","사업체수[개]","개","37",
"전  국","기타 어류 및 부산물의 냉동품","생산액[백만원]","백만원","140330",
"전  국","기타 어류 및 부산물의 냉동품","출하금액[백만원]","백만원","139524",
"전  국","기타 어류 및 부산물의 냉동품","완제품 연말재고액[백만원]","백만원","12137",
"전  국","갑각류 냉동품","사업체수[개]","개","19",
"전  국","갑각류 냉동품","생산액[백만원]","백만원","47540",
"전  국","갑각류 냉동품","출하금액[백만원]","백만원","47223",
"전  국","갑각류 냉동품","완제품 연말재고액[백만원]","백만원","2532",
"전  국","연체동물 냉동품","사업체수[개]","개","46",
"전  국","연체동물 냉동품","생산액[백만원]","백만원","140865",
"전  국","연체동물 냉동품","출하금액[백만원]","백만원","139619",
"전  국","연체동물 냉동품","완제품 연말재고액[백만원]","백만원","13763",
"전  국","어육(신선 및 냉동한 것, 등뼈 제거)","사업체수[개]","개","74",
"전  국","어육(신선 및 냉동한 것, 등뼈 제거)","생산액[백만원]","백만원","315029",
"전  국","어육(신선 및 냉동한 것, 등뼈 제거)","출하금액[백만원]","백만원","313461",
"전  국","어육(신선 및 냉동한 것, 등뼈 제거)","완제품 연말재고액[백만원]","백만원","17567",
"전  국","비식용 어분","사업체수[개]","개","6",
"전  국","비식용 어분","생산액[백만원]","백만원","23477",
"전  국","비식용 어분","출하금액[백만원]","백만원","24031",
"전  국","비식용 어분","완제품 연말재고액[백만원]","백만원","1083",
"전  국","기타 수산동물 가공품","사업체수[개]","개","9",
"전  국","기타 수산동물 가공품","생산액[백만원]","백만원","27316",
"전  국","기타 수산동물 가공품","출하금액[백만원]","백만원","27506",
"전  국","기타 수산동물 가공품","완제품 연말재고액[백만원]","백만원","348",
"전  국","어류 부산물(신선 및 냉동한 것)","사업체수[개]","개","12",
"전  국","어류 부산물(신선 및 냉동한 것)","생산액[백만원]","백만원","20944",
"전  국","어류 부산물(신선 및 냉동한 것)","출하금액[백만원]","백만원","20757",
"전  국","어류 부산물(신선 및 냉동한 것)","완제품 연말재고액[백만원]","백만원","1138",
"전  국","김","사업체수[개]","개","199",
"전  국","김","생산액[백만원]","백만원","817724",
"전  국","김","출하금액[백만원]","백만원","816029",
"전  국","김","완제품 연말재고액[백만원]","백만원","20607",
"전  국","미역","사업체수[개]","개","64",
"전  국","미역","생산액[백만원]","백만원","124172",
"전  국","미역","출하금액[백만원]","백만원","125122",
"전  국","미역","완제품 연말재고액[백만원]","백만원","4126",
"전  국","톳","사업체수[개]","개","10",
"전  국","톳","생산액[백만원]","백만원","25538",
"전  국","톳","출하금액[백만원]","백만원","24800",
"전  국","톳","완제품 연말재고액[백만원]","백만원","5472",
"전  국","기타 해조류 가공품","사업체수[개]","개","40",
"전  국","기타 해조류 가공품","생산액[백만원]","백만원","52629",
"전  국","기타 해조류 가공품","출하금액[백만원]","백만원","53143",
"전  국","기타 해조류 가공품","완제품 연말재고액[백만원]","백만원","3755",
"전  국","김치","사업체수[개]","개","238",
"전  국","김치","생산액[백만원]","백만원","1101610",
"전  국","김치","출하금액[백만원]","백만원","1096299",
"전  국","김치","완제품 연말재고액[백만원]","백만원","33754",
"전  국","단무지","사업체수[개]","개","56",
"전  국","단무지","생산액[백만원]","백만원","260777",
"전  국","단무지","출하금액[백만원]","백만원","259562",
"전  국","단무지","완제품 연말재고액[백만원]","백만원","6635",
"전  국","기타 과실 및 채소 절임식품","사업체수[개]","개","85",
"전  국","기타 과실 및 채소 절임식품","생산액[백만원]","백만원","210142",
"전  국","기타 과실 및 채소 절임식품","출하금액[백만원]","백만원","206785",
"전  국","기타 과실 및 채소 절임식품","완제품 연말재고액[백만원]","백만원","9481",
"전  국","오렌지원액","사업체수[개]","개","3",
"전  국","오렌지원액","생산액[백만원]","백만원","10420",
"전  국","오렌지원액","출하금액[백만원]","백만원","11706",
"전  국","오렌지원액","완제품 연말재고액[백만원]","백만원","2898",
"전  국","농축 과실즙","사업체수[개]","개","29",
"전  국","농축 과실즙","생산액[백만원]","백만원","93899",
"전  국","농축 과실즙","출하금액[백만원]","백만원","93728",
"전  국","농축 과실즙","완제품 연말재고액[백만원]","백만원","9054",
"전  국","농축 채소즙","사업체수[개]","개","18",
"전  국","농축 채소즙","생산액[백만원]","백만원","138160",
"전  국","농축 채소즙","출하금액[백만원]","백만원","137415",
"전  국","농축 채소즙","완제품 연말재고액[백만원]","백만원","4811",
"전  국","과실주스","사업체수[개]","개","17",
"전  국","과실주스","생산액[백만원]","백만원","210680",
"전  국","과실주스","출하금액[백만원]","백만원","210707",
"전  국","과실주스","완제품 연말재고액[백만원]","백만원","2901",
"전  국","채소주스","사업체수[개]","개","10",
"전  국","채소주스","생산액[백만원]","백만원","40866",
"전  국","채소주스","출하금액[백만원]","백만원","42277",
"전  국","채소주스","완제품 연말재고액[백만원]","백만원","1068",
"전  국","과실 통조림","사업체수[개]","개","16",
"전  국","과실 통조림","생산액[백만원]","백만원","65202",
"전  국","과실 통조림","출하금액[백만원]","백만원","64048",
"전  국","과실 통조림","완제품 연말재고액[백만원]","백만원","7523",
"전  국","잼 및 젤리 통조림","사업체수[개]","개","26",
"전  국","잼 및 젤리 통조림","생산액[백만원]","백만원","157370",
"전  국","잼 및 젤리 통조림","출하금액[백만원]","백만원","156756",
"전  국","잼 및 젤리 통조림","완제품 연말재고액[백만원]","백만원","10575",
"전  국","냉동 과실","사업체수[개]","개","13",
"전  국","냉동 과실","생산액[백만원]","백만원","43646",
"전  국","냉동 과실","출하금액[백만원]","백만원","43178",
"전  국","냉동 과실","완제품 연말재고액[백만원]","백만원","4365",
"전  국","기타 과실가공품","사업체수[개]","개","32",
"전  국","기타 과실가공품","생산액[백만원]","백만원","67477",
"전  국","기타 과실가공품","출하금액[백만원]","백만원","68200",
"전  국","기타 과실가공품","완제품 연말재고액[백만원]","백만원","5666",
"전  국","채소 통조림","사업체수[개]","개","4",
"전  국","채소 통조림","생산액[백만원]","백만원","8225",
"전  국","채소 통조림","출하금액[백만원]","백만원","8392",
"전  국","채소 통조림","완제품 연말재고액[백만원]","백만원","869",
"전  국","건조 채소","사업체수[개]","개","25",
"전  국","건조 채소","생산액[백만원]","백만원","78948",
"전  국","건조 채소","출하금액[백만원]","백만원","80092",
"전  국","건조 채소","완제품 연말재고액[백만원]","백만원","3863",
"전  국","기타 채소가공품","사업체수[개]","개","69",
"전  국","기타 채소가공품","생산액[백만원]","백만원","239023",
"전  국","기타 채소가공품","출하금액[백만원]","백만원","239516",
"전  국","기타 채소가공품","완제품 연말재고액[백만원]","백만원","4408",
"전  국","견과 가공품","사업체수[개]","개","20",
"전  국","견과 가공품","생산액[백만원]","백만원","151923",
"전  국","견과 가공품","출하금액[백만원]","백만원","150207",
"전  국","견과 가공품","완제품 연말재고액[백만원]","백만원","6953",
"전  국","식용 지방(육지동물의 것)","사업체수[개]","개","8",
"전  국","식용 지방(육지동물의 것)","생산액[백만원]","백만원","91427",
"전  국","식용 지방(육지동물의 것)","출하금액[백만원]","백만원","94842",
"전  국","식용 지방(육지동물의 것)","완제품 연말재고액[백만원]","백만원","2572",
"전  국","수산동물 조유(원유)","사업체수[개]","개","3",
"전  국","수산동물 조유(원유)","생산액[백만원]","백만원","16079",
"전  국","수산동물 조유(원유)","출하금액[백만원]","백만원","17158",
"전  국","수산동물 조유(원유)","완제품 연말재고액[백만원]","백만원","721",
"전  국","동물성 지방 부산물","사업체수[개]","개","17",
"전  국","동물성 지방 부산물","생산액[백만원]","백만원","222454",
"전  국","동물성 지방 부산물","출하금액[백만원]","백만원","223584",
"전  국","동물성 지방 부산물","완제품 연말재고액[백만원]","백만원","6667",
"전  국","참기름","사업체수[개]","개","25",
"전  국","참기름","생산액[백만원]","백만원","116543",
"전  국","참기름","출하금액[백만원]","백만원","115110",
"전  국","참기름","완제품 연말재고액[백만원]","백만원","7652",
"전  국","들기름","사업체수[개]","개","12",
"전  국","들기름","생산액[백만원]","백만원","8623",
"전  국","들기름","출하금액[백만원]","백만원","8627",
"전  국","들기름","완제품 연말재고액[백만원]","백만원","193",
"전  국","옥수수 원유(압착한 것)","사업체수[개]","개","4",
"전  국","옥수수 원유(압착한 것)","생산액[백만원]","백만원","11455",
"전  국","옥수수 원유(압착한 것)","출하금액[백만원]","백만원","11489",
"전  국","옥수수 원유(압착한 것)","완제품 연말재고액[백만원]","백만원","618",
"전  국","채종유(유채유)","사업체수[개]","개","1",
"전  국","채종유(유채유)","생산액[백만원]","백만원","...",
"전  국","채종유(유채유)","출하금액[백만원]","백만원","...",
"전  국","채종유(유채유)","완제품 연말재고액[백만원]","백만원","...",
"전  국","기타 식물성 원유(압착한 것)","사업체수[개]","개","9",
