"산업분류","항목","단위","2020 년",
"석회석 및 점토 광업","출하액[백만원]","백만원","604812",
"석회석 및 점토 광업","주요생산비[백만원]","백만원","181199",
"석회석 및 점토 광업","부가가치[백만원]","백만원","423545",
"석회석 및 점토 광업","유형자산(연말)[백만원]","백만원","417530",
"석회석 및 점토 광업","사업체수[개]","개","60",
"석회석 및 점토 광업","종사자수[명]","명","1645",
"석회석 및 점토 광업","급여총액[백만원]","백만원","75681",
"석회석 및 점토 광업","출하액[백만원]","백만원","604812",
"석회석 및 점토 광업","주요생산비[백만원]","백만원","181199",
"석회석 및 점토 광업","부가가치[백만원]","백만원","423545",
"석회석 및 점토 광업","유형자산(연말)[백만원]","백만원","417530",
"석재, 쇄석 및 모래, 자갈 채취업","사업체수[개]","개","250",
"석재, 쇄석 및 모래, 자갈 채취업","종사자수[명]","명","5695",
"석재, 쇄석 및 모래, 자갈 채취업","급여총액[백만원]","백만원","269616",
"석재, 쇄석 및 모래, 자갈 채취업","출하액[백만원]","백만원","1965255",
"석재, 쇄석 및 모래, 자갈 채취업","주요생산비[백만원]","백만원","592589",
"석재, 쇄석 및 모래, 자갈 채취업","부가가치[백만원]","백만원","1377390",
"석재, 쇄석 및 모래, 자갈 채취업","유형자산(연말)[백만원]","백만원","1601986",
"건설용 석재 채굴 및 쇄석 생산업","사업체수[개]","개","177",
"건설용 석재 채굴 및 쇄석 생산업","종사자수[명]","명","4012",
"건설용 석재 채굴 및 쇄석 생산업","급여총액[백만원]","백만원","193356",
"건설용 석재 채굴 및 쇄석 생산업","출하액[백만원]","백만원","1492879",
"건설용 석재 채굴 및 쇄석 생산업","주요생산비[백만원]","백만원","430267",
"건설용 석재 채굴 및 쇄석 생산업","부가가치[백만원]","백만원","1066007",
"건설용 석재 채굴 및 쇄석 생산업","유형자산(연말)[백만원]","백만원","1041066",
"모래 및 자갈 채취업","사업체수[개]","개","73",
"모래 및 자갈 채취업","종사자수[명]","명","1683",
"모래 및 자갈 채취업","급여총액[백만원]","백만원","76260",
"모래 및 자갈 채취업","출하액[백만원]","백만원","472376",
"모래 및 자갈 채취업","주요생산비[백만원]","백만원","162322",
"모래 및 자갈 채취업","부가가치[백만원]","백만원","311383",
"모래 및 자갈 채취업","유형자산(연말)[백만원]","백만원","560920",
"기타 비금속광물 광업","사업체수[개]","개","19",
"기타 비금속광물 광업","종사자수[명]","명","469",
"기타 비금속광물 광업","급여총액[백만원]","백만원","17532",
"기타 비금속광물 광업","출하액[백만원]","백만원","76400",
"기타 비금속광물 광업","주요생산비[백만원]","백만원","23286",
"기타 비금속광물 광업","부가가치[백만원]","백만원","52837",
"기타 비금속광물 광업","유형자산(연말)[백만원]","백만원","90039",
"화학용 및 비료원료용 광물 광업","사업체수[개]","개","4",
"화학용 및 비료원료용 광물 광업","종사자수[명]","명","96",
"화학용 및 비료원료용 광물 광업","급여총액[백만원]","백만원","3326",
"화학용 및 비료원료용 광물 광업","출하액[백만원]","백만원","8953",
"화학용 및 비료원료용 광물 광업","주요생산비[백만원]","백만원","2750",
"화학용 및 비료원료용 광물 광업","부가가치[백만원]","백만원","8555",
"화학용 및 비료원료용 광물 광업","유형자산(연말)[백만원]","백만원","10340",
"화학용 및 비료원료용 광물 광업","사업체수[개]","개","4",
"화학용 및 비료원료용 광물 광업","종사자수[명]","명","96",
"화학용 및 비료원료용 광물 광업","급여총액[백만원]","백만원","3326",
"화학용 및 비료원료용 광물 광업","출하액[백만원]","백만원","8953",
"화학용 및 비료원료용 광물 광업","주요생산비[백만원]","백만원","2750",
"화학용 및 비료원료용 광물 광업","부가가치[백만원]","백만원","8555",
"화학용 및 비료원료용 광물 광업","유형자산(연말)[백만원]","백만원","10340",
"천일염 생산 및 암염 채취업","사업체수[개]","개","7",
"천일염 생산 및 암염 채취업","종사자수[명]","명","128",
"천일염 생산 및 암염 채취업","급여총액[백만원]","백만원","3805",
"천일염 생산 및 암염 채취업","출하액[백만원]","백만원","23999",
"천일염 생산 및 암염 채취업","주요생산비[백만원]","백만원","12210",
"천일염 생산 및 암염 채취업","부가가치[백만원]","백만원","11479",
"천일염 생산 및 암염 채취업","유형자산(연말)[백만원]","백만원","19105",
"천일염 생산 및 암염 채취업","사업체수[개]","개","7",
"천일염 생산 및 암염 채취업","종사자수[명]","명","128",
"천일염 생산 및 암염 채취업","급여총액[백만원]","백만원","3805",
"천일염 생산 및 암염 채취업","출하액[백만원]","백만원","23999",
"천일염 생산 및 암염 채취업","주요생산비[백만원]","백만원","12210",
"천일염 생산 및 암염 채취업","부가가치[백만원]","백만원","11479",
"천일염 생산 및 암염 채취업","유형자산(연말)[백만원]","백만원","19105",
"그 외 기타 비금속광물 광업","사업체수[개]","개","8",
"그 외 기타 비금속광물 광업","종사자수[명]","명","245",
"그 외 기타 비금속광물 광업","급여총액[백만원]","백만원","10401",
"그 외 기타 비금속광물 광업","출하액[백만원]","백만원","43448",
"그 외 기타 비금속광물 광업","주요생산비[백만원]","백만원","8326",
"그 외 기타 비금속광물 광업","부가가치[백만원]","백만원","32803",
"그 외 기타 비금속광물 광업","유형자산(연말)[백만원]","백만원","60594",
"그 외 기타 비금속광물 광업","사업체수[개]","개","8",
"그 외 기타 비금속광물 광업","종사자수[명]","명","245",
"그 외 기타 비금속광물 광업","급여총액[백만원]","백만원","10401",
"그 외 기타 비금속광물 광업","출하액[백만원]","백만원","43448",
"그 외 기타 비금속광물 광업","주요생산비[백만원]","백만원","8326",
"그 외 기타 비금속광물 광업","부가가치[백만원]","백만원","32803",
"그 외 기타 비금속광물 광업","유형자산(연말)[백만원]","백만원","60594",
"광업 지원 서비스업","사업체수[개]","개","1",
"광업 지원 서비스업","종사자수[명]","명","X",
"광업 지원 서비스업","급여총액[백만원]","백만원","X",
"광업 지원 서비스업","출하액[백만원]","백만원","X",
"광업 지원 서비스업","주요생산비[백만원]","백만원","X",
"광업 지원 서비스업","부가가치[백만원]","백만원","X",
"광업 지원 서비스업","유형자산(연말)[백만원]","백만원","X",
"광업 지원 서비스업","사업체수[개]","개","1",
"광업 지원 서비스업","종사자수[명]","명","X",
"광업 지원 서비스업","급여총액[백만원]","백만원","X",
"광업 지원 서비스업","출하액[백만원]","백만원","X",
"광업 지원 서비스업","주요생산비[백만원]","백만원","X",
"광업 지원 서비스업","부가가치[백만원]","백만원","X",
"광업 지원 서비스업","유형자산(연말)[백만원]","백만원","X",
"광업 지원 서비스업","사업체수[개]","개","1",
"광업 지원 서비스업","종사자수[명]","명","X",
"광업 지원 서비스업","급여총액[백만원]","백만원","X",
"광업 지원 서비스업","출하액[백만원]","백만원","X",
"광업 지원 서비스업","주요생산비[백만원]","백만원","X",
"광업 지원 서비스업","부가가치[백만원]","백만원","X",
"광업 지원 서비스업","유형자산(연말)[백만원]","백만원","X",
"광업 지원 서비스업","사업체수[개]","개","1",
"광업 지원 서비스업","종사자수[명]","명","X",
"광업 지원 서비스업","급여총액[백만원]","백만원","X",
"광업 지원 서비스업","출하액[백만원]","백만원","X",
"광업 지원 서비스업","주요생산비[백만원]","백만원","X",
"광업 지원 서비스업","부가가치[백만원]","백만원","X",
"광업 지원 서비스업","유형자산(연말)[백만원]","백만원","X",
"제조업(10~34)","사업체수[개]","개","69736",
"제조업(10~34)","종사자수[명]","명","2885341",
"제조업(10~34)","급여총액[백만원]","백만원","137785458",
"제조업(10~34)","출하액[백만원]","백만원","1498794446",
"제조업(10~34)","주요생산비[백만원]","백만원","945100776",
"제조업(10~34)","부가가치[백만원]","백만원","551869771",
"제조업(10~34)","유형자산(연말)[백만원]","백만원","641448125",
"식료품 제조업","사업체수[개]","개","5710",
"식료품 제조업","종사자수[명]","명","220627",
"식료품 제조업","급여총액[백만원]","백만원","7869097",
"식료품 제조업","출하액[백만원]","백만원","90540474",
"식료품 제조업","주요생산비[백만원]","백만원","58228581",
"식료품 제조업","부가가치[백만원]","백만원","32500738",
"식료품 제조업","유형자산(연말)[백만원]","백만원","32244438",
"도축, 육류 가공 및 저장 처리업","사업체수[개]","개","1139",
"도축, 육류 가공 및 저장 처리업","종사자수[명]","명","44325",
"도축, 육류 가공 및 저장 처리업","급여총액[백만원]","백만원","1512596",
"도축, 육류 가공 및 저장 처리업","출하액[백만원]","백만원","18635997",
"도축, 육류 가공 및 저장 처리업","주요생산비[백만원]","백만원","13829729",
"도축, 육류 가공 및 저장 처리업","부가가치[백만원]","백만원","4804838",
"도축, 육류 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","5009023",
"도축업","사업체수[개]","개","254",
"도축업","종사자수[명]","명","15511",
"도축업","급여총액[백만원]","백만원","577030",
"도축업","출하액[백만원]","백만원","6950862",
"도축업","주요생산비[백만원]","백만원","5335155",
"도축업","부가가치[백만원]","백만원","1612480",
"도축업","유형자산(연말)[백만원]","백만원","2406246",
"육류 도축업(가금류 제외)","사업체수[개]","개","154",
"육류 도축업(가금류 제외)","종사자수[명]","명","6204",
"육류 도축업(가금류 제외)","급여총액[백만원]","백만원","235110",
"육류 도축업(가금류 제외)","출하액[백만원]","백만원","3132907",
"육류 도축업(가금류 제외)","주요생산비[백만원]","백만원","2265200",
"육류 도축업(가금류 제외)","부가가치[백만원]","백만원","868042",
"육류 도축업(가금류 제외)","유형자산(연말)[백만원]","백만원","1295287",
"가금류 도축업","사업체수[개]","개","100",
"가금류 도축업","종사자수[명]","명","9307",
"가금류 도축업","급여총액[백만원]","백만원","341920",
"가금류 도축업","출하액[백만원]","백만원","3817955",
"가금류 도축업","주요생산비[백만원]","백만원","3069955",
"가금류 도축업","부가가치[백만원]","백만원","744438",
"가금류 도축업","유형자산(연말)[백만원]","백만원","1110959",
"육류 가공 및 저장 처리업","사업체수[개]","개","885",
"육류 가공 및 저장 처리업","종사자수[명]","명","28814",
"육류 가공 및 저장 처리업","급여총액[백만원]","백만원","935566",
"육류 가공 및 저장 처리업","출하액[백만원]","백만원","11685135",
"육류 가공 및 저장 처리업","주요생산비[백만원]","백만원","8494574",
"육류 가공 및 저장 처리업","부가가치[백만원]","백만원","3192358",
"육류 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","2602777",
"가금류 가공 및 저장 처리업","사업체수[개]","개","294",
"가금류 가공 및 저장 처리업","종사자수[명]","명","8714",
"가금류 가공 및 저장 처리업","급여총액[백만원]","백만원","256905",
"가금류 가공 및 저장 처리업","출하액[백만원]","백만원","2446821",
"가금류 가공 및 저장 처리업","주요생산비[백만원]","백만원","1681279",
"가금류 가공 및 저장 처리업","부가가치[백만원]","백만원","769313",
"가금류 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","797955",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","사업체수[개]","개","360",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","종사자수[명]","명","9913",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","급여총액[백만원]","백만원","340037",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","출하액[백만원]","백만원","5814169",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","주요생산비[백만원]","백만원","4630312",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","부가가치[백만원]","백만원","1185112",
"육류 포장육 및 냉동육 가공업 (가금류 제외)","유형자산(연말)[백만원]","백만원","786044",
"육류 기타 가공 및 저장처리업 (가금류 제외)","사업체수[개]","개","231",
"육류 기타 가공 및 저장처리업 (가금류 제외)","종사자수[명]","명","10187",
"육류 기타 가공 및 저장처리업 (가금류 제외)","급여총액[백만원]","백만원","338624",
"육류 기타 가공 및 저장처리업 (가금류 제외)","출하액[백만원]","백만원","3424145",
"육류 기타 가공 및 저장처리업 (가금류 제외)","주요생산비[백만원]","백만원","2182983",
"육류 기타 가공 및 저장처리업 (가금류 제외)","부가가치[백만원]","백만원","1237933",
"육류 기타 가공 및 저장처리업 (가금류 제외)","유형자산(연말)[백만원]","백만원","1018778",
"수산물 가공 및 저장 처리업","사업체수[개]","개","997",
"수산물 가공 및 저장 처리업","종사자수[명]","명","28760",
"수산물 가공 및 저장 처리업","급여총액[백만원]","백만원","810913",
"수산물 가공 및 저장 처리업","출하액[백만원]","백만원","7116994",
"수산물 가공 및 저장 처리업","주요생산비[백만원]","백만원","4617317",
"수산물 가공 및 저장 처리업","부가가치[백만원]","백만원","2521205",
"수산물 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","2428702",
"수산동물 가공 및 저장 처리업","사업체수[개]","개","647",
"수산동물 가공 및 저장 처리업","종사자수[명]","명","20615",
"수산동물 가공 및 저장 처리업","급여총액[백만원]","백만원","629888",
"수산동물 가공 및 저장 처리업","출하액[백만원]","백만원","5121776",
"수산동물 가공 및 저장 처리업","주요생산비[백만원]","백만원","3276928",
"수산동물 가공 및 저장 처리업","부가가치[백만원]","백만원","1859139",
"수산동물 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","1675156",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","사업체수[개]","개","174",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","종사자수[명]","명","8971",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","급여총액[백만원]","백만원","311650",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","출하액[백만원]","백만원","2414789",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","주요생산비[백만원]","백만원","1440952",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","부가가치[백만원]","백만원","983081",
"수산동물 훈제, 조리 및 유사 조제식품 제조업","유형자산(연말)[백만원]","백만원","834526",
"수산동물 건조 및 염장품 제조업","사업체수[개]","개","243",
"수산동물 건조 및 염장품 제조업","종사자수[명]","명","5649",
"수산동물 건조 및 염장품 제조업","급여총액[백만원]","백만원","132578",
"수산동물 건조 및 염장품 제조업","출하액[백만원]","백만원","957716",
"수산동물 건조 및 염장품 제조업","주요생산비[백만원]","백만원","576544",
"수산동물 건조 및 염장품 제조업","부가가치[백만원]","백만원","390164",
"수산동물 건조 및 염장품 제조업","유형자산(연말)[백만원]","백만원","325670",
"수산동물 냉동품 제조업","사업체수[개]","개","143",
"수산동물 냉동품 제조업","종사자수[명]","명","3735",
"수산동물 냉동품 제조업","급여총액[백만원]","백만원","112996",
"수산동물 냉동품 제조업","출하액[백만원]","백만원","1084167",
"수산동물 냉동품 제조업","주요생산비[백만원]","백만원","774516",
"수산동물 냉동품 제조업","부가가치[백만원]","백만원","304757",
"수산동물 냉동품 제조업","유형자산(연말)[백만원]","백만원","288921",
"기타 수산동물 가공 및 저장 처리업","사업체수[개]","개","87",
"기타 수산동물 가공 및 저장 처리업","종사자수[명]","명","2260",
"기타 수산동물 가공 및 저장 처리업","급여총액[백만원]","백만원","72664",
"기타 수산동물 가공 및 저장 처리업","출하액[백만원]","백만원","665104",
"기타 수산동물 가공 및 저장 처리업","주요생산비[백만원]","백만원","484916",
"기타 수산동물 가공 및 저장 처리업","부가가치[백만원]","백만원","181137",
"기타 수산동물 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","226039",
"수산식물 가공 및 저장 처리업","사업체수[개]","개","350",
"수산식물 가공 및 저장 처리업","종사자수[명]","명","8145",
"수산식물 가공 및 저장 처리업","급여총액[백만원]","백만원","181025",
"수산식물 가공 및 저장 처리업","출하액[백만원]","백만원","1995218",
"수산식물 가공 및 저장 처리업","주요생산비[백만원]","백만원","1340389",
"수산식물 가공 및 저장 처리업","부가가치[백만원]","백만원","662066",
"수산식물 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","753546",
"수산식물 가공 및 저장 처리업","사업체수[개]","개","350",
"수산식물 가공 및 저장 처리업","종사자수[명]","명","8145",
"수산식물 가공 및 저장 처리업","급여총액[백만원]","백만원","181025",
"수산식물 가공 및 저장 처리업","출하액[백만원]","백만원","1995218",
"수산식물 가공 및 저장 처리업","주요생산비[백만원]","백만원","1340389",
"수산식물 가공 및 저장 처리업","부가가치[백만원]","백만원","662066",
"수산식물 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","753546",
"과실, 채소 가공 및 저장 처리업","사업체수[개]","개","603",
"과실, 채소 가공 및 저장 처리업","종사자수[명]","명","18610",
"과실, 채소 가공 및 저장 처리업","급여총액[백만원]","백만원","531504",
"과실, 채소 가공 및 저장 처리업","출하액[백만원]","백만원","3895329",
"과실, 채소 가공 및 저장 처리업","주요생산비[백만원]","백만원","2294506",
"과실, 채소 가공 및 저장 처리업","부가가치[백만원]","백만원","1623980",
"과실, 채소 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","1848065",
"과실, 채소 가공 및 저장 처리업","사업체수[개]","개","603",
"과실, 채소 가공 및 저장 처리업","종사자수[명]","명","18610",
"과실, 채소 가공 및 저장 처리업","급여총액[백만원]","백만원","531504",
"과실, 채소 가공 및 저장 처리업","출하액[백만원]","백만원","3895329",
"과실, 채소 가공 및 저장 처리업","주요생산비[백만원]","백만원","2294506",
"과실, 채소 가공 및 저장 처리업","부가가치[백만원]","백만원","1623980",
"과실, 채소 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","1848065",
"김치류 제조업","사업체수[개]","개","231",
"김치류 제조업","종사자수[명]","명","7692",
"김치류 제조업","급여총액[백만원]","백만원","205540",
"김치류 제조업","출하액[백만원]","백만원","1477074",
"김치류 제조업","주요생산비[백만원]","백만원","872516",
"김치류 제조업","부가가치[백만원]","백만원","609461",
"김치류 제조업","유형자산(연말)[백만원]","백만원","728541",
"과실 및 그 외 채소 절임식품 제조업","사업체수[개]","개","131",
"과실 및 그 외 채소 절임식품 제조업","종사자수[명]","명","3793",
"과실 및 그 외 채소 절임식품 제조업","급여총액[백만원]","백만원","106071",
"과실 및 그 외 채소 절임식품 제조업","출하액[백만원]","백만원","595591",
"과실 및 그 외 채소 절임식품 제조업","주요생산비[백만원]","백만원","331455",
"과실 및 그 외 채소 절임식품 제조업","부가가치[백만원]","백만원","264697",
"과실 및 그 외 채소 절임식품 제조업","유형자산(연말)[백만원]","백만원","301858",
"기타 과실ㆍ채소 가공 및 저장 처리업","사업체수[개]","개","241",
"기타 과실ㆍ채소 가공 및 저장 처리업","종사자수[명]","명","7125",
"기타 과실ㆍ채소 가공 및 저장 처리업","급여총액[백만원]","백만원","219893",
"기타 과실ㆍ채소 가공 및 저장 처리업","출하액[백만원]","백만원","1822664",
"기타 과실ㆍ채소 가공 및 저장 처리업","주요생산비[백만원]","백만원","1090535",
"기타 과실ㆍ채소 가공 및 저장 처리업","부가가치[백만원]","백만원","749822",
"기타 과실ㆍ채소 가공 및 저장 처리업","유형자산(연말)[백만원]","백만원","817666",
"동물성 및 식물성 유지 제조업","사업체수[개]","개","72",
"동물성 및 식물성 유지 제조업","종사자수[명]","명","2264",
"동물성 및 식물성 유지 제조업","급여총액[백만원]","백만원","100399",
"동물성 및 식물성 유지 제조업","출하액[백만원]","백만원","2267088",
"동물성 및 식물성 유지 제조업","주요생산비[백만원]","백만원","1726810",
"동물성 및 식물성 유지 제조업","부가가치[백만원]","백만원","543992",
"동물성 및 식물성 유지 제조업","유형자산(연말)[백만원]","백만원","859986",
"동물성 및 식물성 유지 제조업","사업체수[개]","개","72",
"동물성 및 식물성 유지 제조업","종사자수[명]","명","2264",
"동물성 및 식물성 유지 제조업","급여총액[백만원]","백만원","100399",
"동물성 및 식물성 유지 제조업","출하액[백만원]","백만원","2267088",
"동물성 및 식물성 유지 제조업","주요생산비[백만원]","백만원","1726810",
"동물성 및 식물성 유지 제조업","부가가치[백만원]","백만원","543992",
"동물성 및 식물성 유지 제조업","유형자산(연말)[백만원]","백만원","859986",
"동물성 유지 제조업","사업체수[개]","개","23",
"동물성 유지 제조업","종사자수[명]","명","573",
"동물성 유지 제조업","급여총액[백만원]","백만원","24805",
"동물성 유지 제조업","출하액[백만원]","백만원","338188",
"동물성 유지 제조업","주요생산비[백만원]","백만원","223994",
"동물성 유지 제조업","부가가치[백만원]","백만원","113523",
"동물성 유지 제조업","유형자산(연말)[백만원]","백만원","99315",
"식물성 유지 제조업","사업체수[개]","개","31",
"식물성 유지 제조업","종사자수[명]","명","1023",
"식물성 유지 제조업","급여총액[백만원]","백만원","38861",
"식물성 유지 제조업","출하액[백만원]","백만원","1034454",
"식물성 유지 제조업","주요생산비[백만원]","백만원","815372",
"식물성 유지 제조업","부가가치[백만원]","백만원","220536",
"식물성 유지 제조업","유형자산(연말)[백만원]","백만원","351843",
"식용 정제유 및 가공유 제조업","사업체수[개]","개","18",
"식용 정제유 및 가공유 제조업","종사자수[명]","명","668",
"식용 정제유 및 가공유 제조업","급여총액[백만원]","백만원","36733",
"식용 정제유 및 가공유 제조업","출하액[백만원]","백만원","894446",
"식용 정제유 및 가공유 제조업","주요생산비[백만원]","백만원","687444",
"식용 정제유 및 가공유 제조업","부가가치[백만원]","백만원","209933",
